"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00146341463414634,0,0,0,0.12,0,0,0,0,0.12
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00170731707317073,0,0,0,0.14,0,0,0,0,0.14
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,0.129756097560976,0.11,0.11,0.07,0.29,0.07,0.1,0.11,0.13,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,0.13219512195122,0.11,0.11,0.08,0.33,0.08,0.1,0.11,0.135,0.33
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",19.3735975609756,19.31,19.31,19.31,20.07,19.31,19.31,19.31,19.31,20.07,0.79530487804878,0.12,0.12,0.09,26.5,0.09,0.11,0.12,0.15,26.5
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00274390243902439,0,0,0,0.17,0,0,0,0,0.17
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.113414634146341,0.11,0.11,0.08,0.2,0.08,0.1,0.11,0.12,0.2
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,0.122439024390244,0.11,0.1,0.08,0.29,0.08,0.1,0.11,0.12,0.29
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,0.119573170731707,0.09,0.09,0.06,0.28,0.06,0.09,0.09,0.16,0.28
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.7514024390244,18.67,18.67,18.67,19.98,18.67,18.67,18.67,18.67,19.98,0.755914634146342,0.12,0.12,0.1,19.16,0.1,0.11,0.12,0.21,19.16
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.244451219512195,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.25,0.00445121951219512,0,0,0,0.17,0,0,0,0,0.17
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,0.0955487804878049,0.09,0.09,0.08,0.19,0.08,0.08,0.09,0.1,0.19
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,0.120853658536585,0.11,0.11,0.08,0.24,0.08,0.1,0.11,0.12,0.24
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,0.102439024390244,0.1,0.1,0.07,0.22,0.07,0.09,0.1,0.1,0.22
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.8014024390244,18.8,18.8,18.8,18.83,18.8,18.8,18.8,18.8,18.83,0.438780487804878,0.11,0.11,0.08,9.33,0.08,0.1,0.11,0.11,9.33
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.244573170731707,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.25,0.00670731707317073,0,0,0,0.27,0,0,0,0,0.27
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,0.114329268292683,0.1,0.1,0.06,0.29,0.06,0.09,0.1,0.11,0.29
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",18.2378048780488,18.23,18.23,18.23,18.26,18.23,18.23,18.23,18.24,18.26,0.654024390243902,0.1,0.1,0.06,18.25,0.06,0.09,0.1,0.19,18.25
