"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0163763066202091,0,0,0,1.74,0,0,0,0,1.74
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0236236933797909,0,0,0,2.77,0,0,0,0,2.77
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.6009059233449,10.6,10.6,10.6,10.61,10.6,10.6,10.6,10.6,10.61,0.121637630662021,0.1,0.1,0.06,0.48,0.06,0.09,0.1,0.11,0.48
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.4211149825784,10.42,10.42,10.42,10.44,10.42,10.42,10.42,10.42,10.44,0.131881533101045,0.11,0.11,0.08,0.73,0.08,0.1,0.11,0.12,0.73
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",10.8260975609756,10.06,10.06,10.05,14.83,10.05,10.06,10.06,10.06,14.83,2.0684668989547,0.1,0.09,0.07,38.08,0.07,0.09,0.1,0.19,38.08
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.243205574912892,0.23,0.23,0.23,0.3,0.23,0.23,0.23,0.23,0.3,0.0177003484320557,0,0,0,1.01,0,0,0,0,1.01
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,0.116689895470383,0.1,0.09,0.05,0.42,0.05,0.09,0.1,0.11,0.42
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.439512195122,10.44,10.44,10.43,10.44,10.43,10.44,10.44,10.44,10.44,0.141289198606272,0.11,0.1,0.07,0.46,0.07,0.1,0.11,0.155,0.46
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,0.137177700348432,0.12,0.11,0.08,0.5,0.08,0.11,0.12,0.13,0.5
