,min_cpu,max_cpu,min_memory,max_memory
ca2,0.0,0.0,33.32,33.32
dev-p1-application,0.13,0.25,183.92,183.92
dev-p1-artifact,0.11,0.24,185.39,185.39
dev-p1-log,0.15,39.55,295.49,302.2
dev-p1-wrapper,0.11,0.23,187.28,187.28
dev-p2-application,0.13,7.14,295.17,300.63
dev-p2-artifact,0.12,15.52,293.92,300.73
dev-p2-log,0.12,55.74,301.99,306.6
dev-p2-wrapper,0.11,8.84,295.17,299.89
p1,3.28,17.27,97.73,97.99
p2,3.38,23.83,104.08,104.14
