host,min_cpu,max_cpu,min_memory,max_memory
p1,2.57,17.04,46.15,46.66
p2,3.1,26.27,51.1,51.88
dev-p2-wrapper,0.14,6.1,247.36,298.01
dev-p1-application,0.16,0.25,221.35,221.35
dev-p2-application,0.13,15.82,296.01,301.99
dev-p2-log,0.13,21.11,293.29,295.8
dev-p1-log,0.12,16.09,295.8,297.9
dev-p1-artifact,0.11,0.28,240.54,247.36
dev-p1-wrapper,0.12,0.23,240.54,297.48
dev-p2-artifact,0.13,17.95,300.84,303.14
ca2,0.0,0.0,15.99,15.99
