Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
ca2,0.0,0.0,33.33,33.33
dev-p1,0.22,0.22,,
dev-p1-application,0.12,0.53,183.92,183.92
dev-p1-artifact,0.11,0.81,185.39,185.39
dev-p1-log,0.15,25.19,320.65,331.98
dev-p1-wrapper,0.1,0.34,187.28,187.28
dev-p2-application,0.13,6.47,318.03,324.74
dev-p2-artifact,0.13,6.68,319.08,325.79
dev-p2-log,0.12,38.38,329.25,340.37
dev-p2-wrapper,0.13,6.87,318.03,322.65
p1,3.09,17.18,97.32,98.08
p2,2.84,24.38,103.7,104.01
