"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00794007490636704,0,0,0,0.98,0,0,0,0,0.98
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00591760299625468,0,0,0,0.75,0,0,0,0,0.75
"contaudit-network",0,0,0,0,0,0,0,0,0,0,7.49063670411985e-05,0,0,0,0.01,0,0,0,0,0.01
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.71651685393259,9.72,9.72,9.71,9.72,9.71,9.71,9.72,9.72,9.72,0.119775280898876,0.08,0.08,0.05,1.26,0.05,0.08,0.08,0.09,1.26
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",9.97651685393259,9.98,9.98,9.97,9.98,9.97,9.97,9.98,9.98,9.98,0.128314606741573,0.09,0.09,0.06,1.19,0.06,0.08,0.09,0.14,1.19
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",11.4011985018727,10.62,10.62,10.62,16.09,10.62,10.62,10.62,10.62,16.09,2.74044943820225,0.11,0.09,0.07,64.9,0.07,0.09,0.11,0.27,64.9
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.00367041198501873,0,0,0,0.29,0,0,0,0,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,0.149213483146067,0.11,0.11,0.07,1.28,0.07,0.1,0.11,0.17,1.28
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,0.127677902621723,0.1,0.1,0.05,1.24,0.05,0.09,0.1,0.11,1.24
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,0.122808988764045,0.09,0.09,0.05,1.35,0.05,0.08,0.09,0.1,1.35
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",10.9231086142322,10.13,10.13,10.13,16.1,10.13,10.13,10.13,10.13,16.1,2.81262172284644,0.1,0.08,0.06,56.91,0.06,0.09,0.1,0.19,56.91
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.261123595505618,0.22,0.22,0.22,0.31,0.22,0.22,0.22,0.3,0.31,0.0174531835205993,0,0,0,1.19,0,0,0,0,1.19
