"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00193548387096774,0,0,0,0.1,0,0,0,0,0.1
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00141935483870968,0,0,0,0.11,0,0,0,0,0.11
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.125161290322581,0.11,0.11,0.09,0.21,0.09,0.105,0.11,0.12,0.21
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,0.139935483870968,0.11,0.11,0.08,0.31,0.08,0.1,0.11,0.185,0.31
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.7814193548387,17.78,17.78,17.78,17.83,17.78,17.78,17.78,17.78,17.83,0.596129032258065,0.12,0.12,0.09,8.82,0.09,0.11,0.12,0.21,8.82
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00341935483870968,0,0,0,0.25,0,0,0,0,0.25
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.126322580645161,0.12,0.12,0.09,0.3,0.09,0.11,0.12,0.12,0.3
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,0.138903225806452,0.12,0.12,0.09,0.31,0.09,0.11,0.12,0.14,0.31
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,0.153548387096774,0.13,0.11,0.08,0.38,0.08,0.11,0.13,0.2,0.38
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.2610967741936,17.26,17.26,17.25,17.3,17.25,17.26,17.26,17.26,17.3,0.608774193548387,0.11,0.1,0.09,11.09,0.09,0.1,0.11,0.18,11.09
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00232258064516129,0,0,0,0.16,0,0,0,0,0.16
