Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
ca2,0.0,0.0,33.33,33.33
dev-p1-application,0.11,0.27,183.92,183.92
dev-p1-artifact,0.1,1.78,185.39,185.39
dev-p1-log,0.12,23.86,332.19,332.61
dev-p1-wrapper,0.11,1.03,187.28,187.28
dev-p2-application,0.15,7.85,333.87,334.08
dev-p2-artifact,0.13,11.04,332.71,333.13
dev-p2-log,0.11,26.16,340.68,341.1
dev-p2-wrapper,0.14,4.03,338.9,339.53
p1,2.25,18.21,97.14,97.21
p2,3.89,18.75,103.81,104.11
