Host,CPU_Min(%),CPU_Max(%),Memory_Min(MB),Memory_Max(MB)
p2,3.21,14.38,51.07,51.35
p1,2.86,11.27,46.12,46.39
dev-p2-log,0.13,38.34,290.77,295.8
dev-p1-artifact,0.12,0.27,247.36,247.36
dev-p2-wrapper,0.13,59.24,291.61,298.42
dev-p1-log,0.13,37.51,290.67,297.59
dev-p2-application,0.14,41.12,292.45,299.58
dev-p2-artifact,0.13,2.0,291.61,300.84
dev-p1-application,0.14,1.26,221.35,221.35
ca2,0.0,0.0,15.99,15.99
dev-p1-wrapper,0.12,0.26,240.54,240.54
