"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",20.452,20.45,20.45,20.45,20.46,20.45,20.45,20.45,20.45,20.46,0.345,0.11,0.11,0.07,2.44,0.07,0.1,0.11,0.13,2.44
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0,0,0,0,0,0,0,0,0,0
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",18.045,18.045,18.04,18.04,18.05,18.04,18.04,18.045,18.05,18.05,0.37,0.12,0.12,0.07,2.13,0.07,0.1,0.12,0.2,2.13
"explorer.contaudit-network",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.917,0.005,0,0,8.75,0,0,0.005,0.01,8.75
"explorerdb.contaudit-network",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.332,0,0,0,2.86,0,0,0,0.16,2.86
"o1.contaudit.ppgc.inf.ufrgs.br",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.344,0.22,0.22,0.16,1.24,0.16,0.19,0.22,0.32,1.24
"o2.contaudit.ppgc.inf.ufrgs.br",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.251,0.215,0.2,0.16,0.5,0.16,0.2,0.215,0.27,0.5
"o3.contaudit.ppgc.inf.ufrgs.br",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.337,0.29,0.29,0.25,0.67,0.25,0.28,0.29,0.34,0.67
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,4.046,2.725,1.84,1.26,8.83,1.26,1.84,2.725,5.71,8.83
"p1.organization.contaudit.ppgc.inf.ufrgs.br",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,2.712,2.625,1.62,1.01,5.42,1.01,1.5,2.625,3.84,5.42
"p2.auditor.contaudit.ppgc.inf.ufrgs.br",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,3.867,2.325,1.8,1.43,8.9,1.43,1.8,2.325,5.71,8.9
"p2.organization.contaudit.ppgc.inf.ufrgs.br",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,4.263,2.315,1.71,1.23,14.07,1.23,1.71,2.315,6.64,14.07
