,min,max
dev-p2-log,264.77,270.01
dev-p1-log,260.47,265.08
dev-p2-wrapper,260.05,264.35
dev-p2-application,257.95,263.99
dev-p2-artifact,257.43,262.56
dev-p1-artifact,165.88,165.88
dev-p1-application,165.78,165.78
dev-p1-wrapper,164.84,164.84
p2,103.6,106.33
p1,90.48,91.06
ca2,33.33,33.33
