,min_cpu,max_cpu,min_memory,max_memory
ca2,0.0,0.0,33.32,33.32
dev-p1-application,0.11,0.85,183.92,183.92
dev-p1-artifact,0.12,1.2,185.39,185.39
dev-p1-log,0.13,42.99,307.02,315.94
dev-p1-wrapper,0.1,0.26,187.28,187.28
dev-p2-application,0.14,27.9,308.91,313.63
dev-p2-artifact,0.11,9.71,307.44,312.58
dev-p2-log,0.13,53.73,313.1,320.03
dev-p2-wrapper,0.13,37.96,306.6,311.64
p1,2.63,24.49,99.41,99.68
p2,2.69,58.23,102.59,102.89
