"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0011353711790393,0,0,0,0.13,0,0,0,0,0.13
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00327510917030568,0,0,0,0.18,0,0,0,0,0.18
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.12938864628821,0.11,0.11,0.08,0.57,0.08,0.1,0.11,0.12,0.57
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,0.133668122270742,0.11,0.11,0.07,0.83,0.07,0.1,0.11,0.12,0.83
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",19.0217030567686,19.01,19.01,19,19.43,19,19,19.01,19.01,19.43,1.17279475982533,0.11,0.11,0.05,53.08,0.05,0.1,0.11,0.2,53.08
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00279475982532751,0,0,0,0.26,0,0,0,0,0.26
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.119650655021834,0.11,0.1,0.07,0.5,0.07,0.1,0.11,0.12,0.5
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,0.121048034934498,0.11,0.11,0.07,0.57,0.07,0.1,0.11,0.12,0.57
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,0.129606986899563,0.12,0.12,0.07,0.75,0.07,0.1,0.12,0.12,0.75
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.3854148471616,18.39,18.39,18.38,18.39,18.38,18.38,18.39,18.39,18.39,0.782445414847162,0.12,0.11,0.07,14.56,0.07,0.11,0.12,0.21,14.56
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00179039301310044,0,0,0,0.16,0,0,0,0,0.16
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,0.12292576419214,0.12,0.12,0.08,0.59,0.08,0.1,0.12,0.12,0.59
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,0.118384279475983,0.1,0.1,0.07,0.74,0.07,0.1,0.1,0.11,0.74
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,0.146593886462882,0.12,0.11,0.07,0.73,0.07,0.11,0.12,0.14,0.73
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.8782096069869,18.88,18.88,18.87,18.9,18.87,18.87,18.88,18.88,18.9,0.79528384279476,0.12,0.12,0.05,14.86,0.05,0.1,0.12,0.2,14.86
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00262008733624454,0,0,0,0.16,0,0,0,0,0.16
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,0.128471615720524,0.11,0.1,0.09,0.46,0.09,0.1,0.11,0.12,0.46
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",17.5357205240175,17.38,17.38,17.38,18.23,17.38,17.38,17.38,17.74,18.23,1.08471615720524,0.11,0.1,0.08,25.28,0.08,0.1,0.11,0.2,25.28
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",18.6855021834061,18.56,18.56,18.56,19.37,18.56,18.56,18.56,18.56,19.37,1.0703056768559,0.11,0.1,0.07,21.7,0.07,0.1,0.11,0.2,21.7
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",19.4513973799127,19.45,19.45,19.45,19.47,19.45,19.45,19.45,19.45,19.47,0.764541484716157,0.12,0.12,0.08,20.4,0.08,0.11,0.12,0.2,20.4
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00366812227074236,0,0,0,0.35,0,0,0,0,0.35
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",18.124192139738,17.9,17.9,17.9,18.61,17.9,17.9,17.9,18.61,18.61,0.937248908296943,0.12,0.12,0.08,15.64,0.08,0.11,0.12,0.21,15.64
"explorer.contaudit-network",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.88248908296943,0,0,0,26.68,0,0,0,0.12,26.68
"explorerdb.contaudit-network",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.686244541484716,0.02,0,0,8.56,0,0,0.02,0.45,8.56
"o1.contaudit.ppgc.inf.ufrgs.br",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.466812227074236,0.28,0.26,0.19,2.7,0.19,0.25,0.28,0.39,2.7
"o2.contaudit.ppgc.inf.ufrgs.br",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.353755458515284,0.19,0.18,0.12,2.93,0.12,0.17,0.19,0.24,2.93
"o3.contaudit.ppgc.inf.ufrgs.br",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35061135371179,0.21,0.2,0.13,2.6,0.13,0.18,0.21,0.27,2.6
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,5.6764192139738,4.47,1.83,1.07,18.26,1.07,2.32,4.47,8.65,18.26
