Host,Type,Min_Value,Max_Value
ca2,CPU,0.0,0.14
ca2,Memory,33.33,33.33
dev-p1-application,CPU,0.12,0.46
dev-p1-application,Memory,183.92,183.92
dev-p1-artifact,CPU,0.11,0.22
dev-p1-artifact,Memory,185.39,185.39
dev-p1-log,CPU,0.13,22.46
dev-p1-log,Memory,331.87,332.08
dev-p1-wrapper,CPU,0.11,0.24
dev-p1-wrapper,Memory,187.28,187.28
dev-p2-application,CPU,0.15,30.45
dev-p2-application,Memory,324.64,333.76
dev-p2-artifact,CPU,0.11,7.68
dev-p2-artifact,Memory,325.69,332.61
dev-p2-log,CPU,0.11,8.1
dev-p2-log,Memory,340.26,340.58
dev-p2-wrapper,CPU,0.14,13.86
dev-p2-wrapper,Memory,322.54,329.04
p1,CPU,3.29,15.69
p1,Memory,97.34,97.87
p2,CPU,3.24,21.01
p2,Memory,103.74,103.77
