,min,max
dev-p2-wrapper,348.13,348.13
dev-p2-log,345.72,345.72
dev-p2-application,339.32,339.32
dev-p2-artifact,338.48,338.48
dev-p1-log,336.07,336.07
dev-p1-wrapper,188.64,188.64
dev-p1-artifact,185.49,185.49
dev-p1-application,183.92,183.92
p2,106.64,106.95
p1,98.94,98.94
ca2,33.33,33.33
