Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
p2,2.64,6.84,51.0,51.0
p1,3.08,6.54,46.06,46.06
dev-p2-artifact,0.14,17.29,286.47,288.25
dev-p2-wrapper,0.14,38.37,288.78,288.78
dev-p1-artifact,0.13,0.26,247.36,247.36
dev-p1-log,0.13,16.05,283.33,285.11
dev-p2-application,0.13,32.71,287.52,287.52
dev-p1-application,0.13,0.24,221.35,221.35
dev-p1-wrapper,0.12,0.22,240.54,240.54
dev-p2-log,0.12,15.78,281.12,283.53
ca2,0.0,0.0,15.99,15.99
