Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
ca2,0.0,0.0,33.33,33.33
dev-p1-application,0.13,0.43,183.92,183.92
dev-p1-artifact,0.13,1.06,185.49,185.49
dev-p1-log,0.14,56.62,332.5,345.19
dev-p1-wrapper,0.12,0.43,187.28,187.28
dev-p2-application,0.14,11.89,334.08,343.93
dev-p2-artifact,0.1,112.81,333.03,341.31
dev-p2-log,0.12,58.54,341.0,354.84
dev-p2-wrapper,0.14,19.16,339.53,355.47
p1,2.49,16.88,97.19,97.99
p2,2.49,23.33,103.88,104.45
