"folder","mean_real_time","standard_deviation_real_time"
"1",10.691,NA
"10",10.181,NA
"11",10.528,NA
"12",10.202,NA
"13",10.714,NA
"14",10.141,NA
"15",10.845,NA
"16",10.022,NA
"17",10.619,NA
"18",10.114,NA
"19",10.609,NA
"2",10.055,NA
"20",10.154,NA
"21",10.642,NA
"22",10.146,NA
"23",10.59,NA
"24",10.093,NA
"25",10.659,NA
"26",10.121,NA
"27",10.539,NA
"28",10.227,NA
"29",10.516,NA
"3",10.64,NA
"30",10.235,NA
"4",10.038,NA
"5",10.573,NA
"6",10.042,NA
"7",10.535,NA
"8",9.993,NA
"9",10.625,NA
