Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
dev-p2-wrapper,0.12,14.11,313.42,315.94
dev-p1-application,0.12,0.27,221.35,221.35
p1,2.85,13.0,48.36,48.64
dev-p1-log,0.11,21.97,316.67,319.08
dev-p2-artifact,0.13,14.55,314.47,319.08
dev-p2-log,0.11,14.0,312.27,316.77
p2,2.9,15.83,51.22,51.28
dev-p1-artifact,0.11,0.6,247.36,247.36
dev-p1-wrapper,0.11,0.24,240.54,240.54
ca2,0.0,0.11,15.99,15.99
dev-p2-application,0.12,29.21,312.48,314.89
