Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
p1-application,0.13,0.25,221.35,221.35
p1,2.4,9.3,46.07,46.59
p1-wrapper,0.11,0.31,240.54,240.54
p1-log,0.13,15.8,285.95,288.36
p2,2.27,11.25,51.02,51.04
ca2,0.0,0.14,15.99,15.99
p2-log,0.13,7.39,285.95,286.26
p2-artifact,0.12,18.25,288.46,290.87
p2-application,0.15,15.29,289.83,290.04
p2-wrapper,0.13,17.24,289.3,290.98
p1-artifact,0.12,0.23,247.36,247.36
