"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000533333333333333,0,0,0,0.04,0,0,0,0,0.04
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4e-04,0,0,0,0.03,0,0,0,0,0.03
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,0.145266666666667,0.11,0.1,0.07,1.36,0.07,0.1,0.11,0.14,1.36
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,0.137533333333333,0.11,0.11,0.07,1.29,0.07,0.1,0.11,0.12,1.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",20.0610666666667,20.06,20.06,20.06,20.07,20.06,20.06,20.06,20.06,20.07,0.846466666666667,0.11,0.11,0.08,21.02,0.08,0.11,0.11,0.2,21.02
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0038,0,0,0,0.17,0,0,0,0,0.17
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.112466666666667,0.1,0.1,0.08,1.02,0.08,0.09,0.1,0.1,1.02
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,0.130066666666667,0.1,0.1,0.07,1.32,0.07,0.09,0.1,0.11,1.32
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,0.102933333333333,0.09,0.08,0.05,0.8,0.05,0.08,0.09,0.09,0.8
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",19.9710666666667,19.97,19.97,19.97,19.98,19.97,19.97,19.97,19.97,19.98,0.494266666666667,0.1,0.1,0.08,7.33,0.08,0.09,0.1,0.11,7.33
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.246466666666667,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.25,0.25,0.006,0,0,0,0.22,0,0,0,0,0.22
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.7966666666667,10.87,10.87,10.65,10.87,10.65,10.65,10.87,10.87,10.87,0.1308,0.11,0.11,0.07,1.14,0.07,0.09,0.11,0.12,1.14
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,0.1104,0.1,0.1,0.07,0.36,0.07,0.1,0.1,0.11,0.36
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.08,0.106666666666667,0.09,0.09,0.07,0.48,0.07,0.09,0.09,0.1,0.48
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.9029333333333,18.83,18.83,18.83,20.08,18.83,18.83,18.83,18.83,20.08,0.866933333333333,0.1,0.1,0.08,15.9,0.08,0.09,0.1,0.11,15.9
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.258533333333333,0.26,0.26,0.24,0.26,0.24,0.26,0.26,0.26,0.26,0.00613333333333333,0,0,0,0.2,0,0,0,0,0.2
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.0028666666667,10.06,10.06,9.88,10.07,9.88,9.88,10.06,10.06,10.07,0.116266666666667,0.09,0.09,0.05,0.74,0.05,0.09,0.09,0.1,0.74
