"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00174603174603175,0,0,0,0.21,0,0,0,0,0.21
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00158730158730159,0,0,0,0.19,0,0,0,0,0.19
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,0.11,0.09,0.08,0.06,0.37,0.06,0.08,0.09,0.1,0.37
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.105793650793651,0.09,0.09,0.06,0.34,0.06,0.08,0.09,0.1,0.34
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",15.9773015873016,15.91,15.91,15.91,17.49,15.91,15.91,15.91,15.91,17.49,1.2525,0.09,0.08,0.06,32.45,0.06,0.08,0.09,0.16,32.45
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00305555555555556,0,0,0,0.17,0,0,0,0,0.17
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.125714285714286,0.11,0.1,0.07,0.38,0.07,0.1,0.11,0.12,0.38
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0.109960317460317,0.09,0.09,0.06,0.37,0.06,0.08,0.09,0.1,0.37
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,0.0995238095238095,0.09,0.09,0.06,0.38,0.06,0.08,0.09,0.09,0.38
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",15.6397222222222,15.59,15.59,15.59,17.05,15.59,15.59,15.59,15.59,17.05,1.04329365079365,0.11,0.11,0.08,16.57,0.08,0.1,0.11,0.2,16.57
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.23047619047619,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.0044047619047619,0,0,0,0.21,0,0,0,0,0.21
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,0.104246031746032,0.09,0.09,0.07,0.37,0.07,0.08,0.09,0.1,0.37
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,0.0973809523809524,0.08,0.08,0.06,0.32,0.06,0.08,0.08,0.09,0.32
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,0.0888492063492064,0.08,0.08,0.06,0.36,0.06,0.07,0.08,0.08,0.36
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",15.3691666666667,15.32,15.32,15.32,16.68,15.32,15.32,15.32,15.32,16.68,0.978095238095238,0.1,0.09,0.07,18.41,0.07,0.09,0.1,0.17,18.41
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.241547619047619,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.00202380952380952,0,0,0,0.11,0,0,0,0,0.11
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,0.10984126984127,0.09,0.09,0.06,0.32,0.06,0.08,0.09,0.1,0.32
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",15.7944047619048,15.76,15.76,15.76,15.9,15.76,15.76,15.76,15.83,15.9,1.01892857142857,0.11,0.11,0.08,24.24,0.08,0.1,0.11,0.1225,24.24
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",15.9102380952381,15.9,15.9,15.9,15.96,15.9,15.9,15.9,15.9,15.96,1.15123015873016,0.11,0.09,0.08,24.86,0.08,0.09,0.11,0.13,24.86
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",14.9869047619048,14.94,14.94,14.94,16.31,14.94,14.94,14.94,14.94,16.31,0.908095238095238,0.1,0.09,0.07,19.19,0.07,0.09,0.1,0.18,19.19
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.00321428571428571,0,0,0,0.19,0,0,0,0,0.19
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",14.7497619047619,14.7,14.7,14.7,14.94,14.7,14.7,14.7,14.84,14.94,0.95468253968254,0.1,0.09,0.07,30.09,0.07,0.09,0.1,0.18,30.09
"explorer.contaudit-network",0.240555555555556,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,1.72293650793651,0,0,0,32.72,0,0,0,0.03,32.72
"explorerdb.contaudit-network",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.559920634920635,0,0,0,8.98,0,0,0,0.17,8.98
"o1.contaudit.ppgc.inf.ufrgs.br",0.0301984126984127,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.334484126984127,0.19,0.18,0.13,3.72,0.13,0.17,0.19,0.23,3.72
"o2.contaudit.ppgc.inf.ufrgs.br",0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.357619047619048,0.19,0.17,0.13,3.04,0.13,0.17,0.19,0.25,3.04
"o3.contaudit.ppgc.inf.ufrgs.br",0.0403571428571429,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.593611111111111,0.37,0.36,0.19,5.58,0.19,0.29,0.37,0.5,5.58
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.158293650793651,0.16,0.16,0.15,0.2,0.15,0.15,0.16,0.16,0.2,5.56186507936508,3.275,2.99,1.09,23.11,1.09,2,3.275,8.63,23.11
"p1.organization.contaudit.ppgc.inf.ufrgs.br",0.14734126984127,0.15,0.15,0.14,0.16,0.14,0.14,0.15,0.15,0.16,3.96051587301587,2.85,1.52,1.06,23.53,1.06,1.8575,2.85,4.0675,23.53
