,min_cpu,max_cpu,min_memory,max_memory
ca2,0.0,0.0,33.32,33.32
dev-p1-application,0.12,0.49,183.92,183.92
dev-p1-artifact,0.1,0.62,185.39,185.39
dev-p1-log,0.11,33.38,302.2,307.13
dev-p1-wrapper,0.1,0.47,187.28,187.28
dev-p2-application,0.15,24.01,300.52,309.02
dev-p2-artifact,0.13,46.36,300.73,307.55
dev-p2-log,0.1,15.32,306.5,313.21
dev-p2-wrapper,0.11,5.61,299.68,306.71
p1,3.46,20.56,97.77,98.03
p2,3.07,23.35,103.1,106.22
