Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
p1-application,0.12,0.25,221.35,221.35
p1,2.91,25.38,48.29,48.81
p1-wrapper,0.11,0.79,240.54,240.54
p1-log,0.11,34.27,302.83,307.86
p2,2.26,22.57,51.15,51.94
ca2,0.0,0.0,15.99,15.99
p2-log,0.14,36.58,299.89,302.3
p2-artifact,0.13,18.31,305.35,307.76
p2-application,0.12,47.32,299.58,304.4
p2-wrapper,0.12,22.77,304.3,306.81
p1-artifact,0.13,0.86,247.36,247.36
