Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
ca2,0.0,0.0,33.33,33.33
dev-p1-application,0.13,1.03,183.92,183.92
dev-p1-artifact,0.11,0.23,185.39,185.39
dev-p1-log,0.13,12.45,331.98,332.29
dev-p1-wrapper,0.12,0.27,187.28,187.28
dev-p2-application,0.13,23.06,333.66,333.87
dev-p2-artifact,0.12,12.14,332.5,333.03
dev-p2-log,0.12,12.75,340.47,340.79
dev-p2-wrapper,0.14,58.71,328.94,339.0
p1,3.21,19.53,97.11,97.64
p2,2.78,23.56,103.77,104.29
