"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00207627118644068,0,0,0,0.25,0,0,0,0,0.25
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00194915254237288,0,0,0,0.25,0,0,0,0,0.25
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,0.0788029661016949,0.07,0.07,0.06,0.27,0.06,0.07,0.07,0.08,0.27
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,0.0818326271186441,0.07,0.07,0.06,0.45,0.06,0.07,0.07,0.08,0.45
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",12.3025423728814,12.3,12.3,12.3,13.1,12.3,12.3,12.3,12.3,13.1,0.125286016949153,0.08,0.07,0.07,18.19,0.07,0.07,0.08,0.08,18.19
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.251758474576271,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.26,0.00462923728813559,0,0,0,0.49,0,0,0,0,0.49
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,0.080646186440678,0.07,0.07,0.06,0.47,0.06,0.07,0.07,0.08,0.47
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,0.0800317796610169,0.08,0.07,0.06,0.36,0.06,0.07,0.08,0.08,0.36
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.79,10.79,0.0815783898305085,0.07,0.07,0.07,0.65,0.07,0.07,0.07,0.08,0.65
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",12.4020021186441,12.4,12.4,12.4,13.03,12.4,12.4,12.4,12.4,13.03,0.126239406779661,0.08,0.08,0.07,16.69,0.07,0.07,0.08,0.08,16.69
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.251281779661017,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.26,0.00420550847457627,0,0,0,0.36,0,0,0,0,0.36
