Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
p1-application,0.13,0.27,221.35,221.35
p1-wrapper,0.12,0.29,240.54,240.54
p1,2.94,15.45,46.17,46.69
p1-log,0.13,26.09,297.8,302.93
p2,3.06,17.03,51.13,51.66
p2-log,0.14,32.38,295.28,300.0
p2-artifact,0.13,25.94,303.04,307.97
p2-application,0.14,13.41,295.91,299.68
ca2,0.0,0.0,15.99,15.99
p2-wrapper,0.14,23.52,299.79,304.4
p1-artifact,0.13,0.64,247.36,247.36
