"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",21.1686988847584,21.01,21,21,22.12,21,21,21.01,21.04,22.12,0.380148698884758,0.12,0.11,0.09,5.89,0.09,0.11,0.12,0.2,5.89
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",21.0156133828996,21.02,21.02,21.01,21.02,21.01,21.01,21.02,21.02,21.02,0.346617100371747,0.09,0.08,0.07,5.64,0.07,0.08,0.09,0.16,5.64
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00349442379182156,0,0,0,0.27,0,0,0,0,0.27
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",19.0375836431227,19.04,19.04,19.03,19.04,19.03,19.04,19.04,19.04,19.04,0.372527881040892,0.11,0.1,0.07,3.36,0.07,0.1,0.11,0.18,3.36
"explorer.contaudit-network",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.8546468401487,0,0,0,23.43,0,0,0,0.04,23.43
"explorerdb.contaudit-network",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.682788104089219,0.03,0,0,6.75,0,0,0.03,0.3,6.75
"o1.contaudit.ppgc.inf.ufrgs.br",0.067360594795539,0.07,0.07,0.05,0.07,0.05,0.07,0.07,0.07,0.07,0.572788104089219,0.28,0.27,0.15,6.65,0.15,0.26,0.28,0.42,6.65
"o2.contaudit.ppgc.inf.ufrgs.br",0.0574349442379182,0.06,0.06,0.04,0.06,0.04,0.06,0.06,0.06,0.06,0.471672862453532,0.2,0.19,0.11,8.18,0.11,0.17,0.2,0.27,8.18
"o3.contaudit.ppgc.inf.ufrgs.br",0.0574349442379182,0.06,0.06,0.04,0.06,0.04,0.06,0.06,0.06,0.06,0.464052044609665,0.21,0.19,0.11,6.61,0.11,0.18,0.21,0.27,6.61
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,5.5096282527881,4.78,8.65,1.19,16.91,1.19,2.23,4.78,8.04,16.91
"p1.organization.contaudit.ppgc.inf.ufrgs.br",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,3.96780669144981,3.04,2.42,1.04,17.06,1.04,1.95,3.04,4.92,17.06
"p2.auditor.contaudit.ppgc.inf.ufrgs.br",0.161449814126394,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.17,5.91375464684015,3.51,2.27,1.09,19.59,1.09,2.26,3.51,9.24,19.59
"p2.organization.contaudit.ppgc.inf.ufrgs.br",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,4.75520446096654,2.95,1.92,1.26,17.93,1.26,1.96,2.95,7.41,17.93
