"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00015748031496063,0,0,0,0.01,0,0,0,0,0.01
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00015748031496063,0,0,0,0.01,0,0,0,0,0.01
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.13007874015748,0.12,0.12,0.07,0.29,0.07,0.11,0.12,0.12,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,0.13244094488189,0.11,0.11,0.07,0.29,0.07,0.11,0.11,0.14,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.7338582677165,17.73,17.73,17.73,17.76,17.73,17.73,17.73,17.73,17.76,1.05858267716535,0.11,0.11,0.07,13.19,0.07,0.1,0.11,0.195,13.19
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00511811023622047,0,0,0,0.29,0,0,0,0,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.141102362204724,0.12,0.11,0.07,0.3,0.07,0.1,0.12,0.2,0.3
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,0.131417322834646,0.11,0.1,0.07,0.32,0.07,0.1,0.11,0.13,0.32
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,0.119448818897638,0.11,0.1,0.07,0.24,0.07,0.1,0.11,0.12,0.24
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.2225196850394,17.22,17.22,17.22,17.24,17.22,17.22,17.22,17.22,17.24,0.737874015748031,0.11,0.1,0.07,13.42,0.07,0.1,0.11,0.2,13.42
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00330708661417323,0,0,0,0.19,0,0,0,0,0.19
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,0.133070866141732,0.12,0.12,0.07,0.23,0.07,0.11,0.12,0.14,0.23
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,0.131968503937008,0.12,0.12,0.07,0.29,0.07,0.1,0.12,0.13,0.29
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,0.131259842519685,0.11,0.11,0.07,0.31,0.07,0.1,0.11,0.12,0.31
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.6514960629921,17.65,17.65,17.65,17.67,17.65,17.65,17.65,17.65,17.67,0.837637795275591,0.12,0.11,0.07,14.2,0.07,0.11,0.12,0.26,14.2
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00307086614173228,0,0,0,0.17,0,0,0,0,0.17
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,0.129763779527559,0.11,0.11,0.07,0.3,0.07,0.11,0.11,0.12,0.3
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",16.0345669291339,15.9,15.9,15.9,16.47,15.9,15.9,15.9,16.1,16.47,0.710944881889764,0.11,0.09,0.05,12.86,0.05,0.09,0.11,0.195,12.86
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",16.963937007874,16.87,16.87,16.87,17.42,16.87,16.87,16.87,16.87,17.42,0.725826771653543,0.12,0.12,0.07,12.23,0.07,0.11,0.12,0.18,12.23
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.0640157480315,18.06,18.06,18.06,18.12,18.06,18.06,18.06,18.06,18.12,0.874330708661417,0.1,0.09,0.04,10.49,0.04,0.09,0.1,0.2,10.49
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00283464566929134,0,0,0,0.16,0,0,0,0,0.16
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",16.810157480315,16.63,16.63,16.63,17.17,16.63,16.63,16.63,17.17,17.17,0.618818897637795,0.11,0.11,0.07,14.32,0.07,0.1,0.11,0.14,14.32
"explorer.contaudit-network",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.52771653543307,0,0,0,18.33,0,0,0,0.115,18.33
"explorerdb.contaudit-network",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.627244094488189,0,0,0,6,0,0,0,0.135,6
"o1.contaudit.ppgc.inf.ufrgs.br",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.482204724409449,0.31,0.38,0.18,2.34,0.18,0.27,0.31,0.38,2.34
"o2.contaudit.ppgc.inf.ufrgs.br",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.326220472440945,0.2,0.18,0.11,2.69,0.11,0.17,0.2,0.25,2.69
"o3.contaudit.ppgc.inf.ufrgs.br",0.0302362204724409,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.402362204724409,0.23,0.21,0.12,2.92,0.12,0.19,0.23,0.29,2.92
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,5.41748031496063,3.93,1.86,1.33,14.96,1.33,2.01,3.93,8.27,14.96
"p1.organization.contaudit.ppgc.inf.ufrgs.br",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,3.89677165354331,2.9,1.84,1.27,11.6,1.27,1.84,2.9,4.7,11.6
"p2.auditor.contaudit.ppgc.inf.ufrgs.br",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,5.40905511811024,3.38,3.34,1.34,13.27,1.34,2.04,3.38,9.38,13.27
"p2.organization.contaudit.ppgc.inf.ufrgs.br",0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,4.67708661417323,2.76,2.58,1.27,13.54,1.27,1.795,2.76,7.08,13.54
