"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00356521739130435,0,0,0,0.13,0,0,0,0,0.13
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00356521739130435,0,0,0,0.13,0,0,0,0,0.13
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.128347826086957,0.11,0.11,0.07,0.31,0.07,0.105,0.11,0.12,0.31
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,0.15104347826087,0.12,0.11,0.09,0.32,0.09,0.11,0.12,0.195,0.32
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.3053043478261,17.25,17.25,17.25,17.73,17.25,17.25,17.25,17.26,17.73,1.28391304347826,0.12,0.12,0.07,22.93,0.07,0.11,0.12,0.265,22.93
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.000869565217391304,0,0,0,0.03,0,0,0,0,0.03
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.137478260869565,0.11,0.11,0.07,0.35,0.07,0.1,0.11,0.14,0.35
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,0.116782608695652,0.11,0.1,0.08,0.21,0.08,0.1,0.11,0.12,0.21
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,0.127913043478261,0.12,0.12,0.08,0.31,0.08,0.11,0.12,0.13,0.31
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",16.996,16.96,16.96,16.96,17.22,16.96,16.96,16.96,16.96,17.22,1.31217391304348,0.11,0.1,0.08,26.71,0.08,0.1,0.11,0.14,26.71
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0011304347826087,0,0,0,0.03,0,0,0,0,0.03
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,0.136869565217391,0.12,0.11,0.07,0.3,0.07,0.11,0.12,0.18,0.3
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,0.121217391304348,0.11,0.1,0.07,0.3,0.07,0.1,0.11,0.12,0.3
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,0.118521739130435,0.1,0.1,0.07,0.22,0.07,0.1,0.1,0.12,0.22
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.3804347826087,17.32,17.32,17.32,17.82,17.32,17.32,17.32,17.34,17.82,1.54173913043478,0.12,0.12,0.07,25.04,0.07,0.12,0.12,0.23,25.04
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.000695652173913043,0,0,0,0.03,0,0,0,0,0.03
"dev-p2.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,0.142782608695652,0.11,0.11,0.07,0.29,0.07,0.1,0.11,0.205,0.29
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",15.2828695652174,15.05,15.05,15.05,16.45,15.05,15.05,15.05,15.22,16.45,3.01,0.13,0.13,0.08,46.95,0.08,0.12,0.13,0.23,46.95
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",17.0098260869565,17.05,17.05,16.55,17.13,16.55,17.05,17.05,17.05,17.13,0.91104347826087,0.12,0.12,0.07,20.04,0.07,0.11,0.12,0.22,20.04
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",17.7710434782609,17.73,17.73,17.73,18.06,17.73,17.73,17.73,17.73,18.06,1.11208695652174,0.13,0.13,0.05,16.43,0.05,0.12,0.13,0.23,16.43
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.000869565217391304,0,0,0,0.03,0,0,0,0,0.03
"dev-p2.organization.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",16.3150434782609,16.16,16.16,16.16,16.63,16.16,16.16,16.16,16.62,16.63,1.03773913043478,0.13,0.12,0.08,20.22,0.08,0.11,0.13,0.255,20.22
"explorer.contaudit-network",0.240608695652174,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,1.78052173913043,0,0,0,20.17,0,0,0,0.16,20.17
"explorerdb.contaudit-network",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.601304347826087,0.02,0,0,5.04,0,0,0.02,0.18,5.04
"o1.contaudit.ppgc.inf.ufrgs.br",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.488434782608696,0.28,0.23,0.17,4.21,0.17,0.24,0.28,0.33,4.21
"o2.contaudit.ppgc.inf.ufrgs.br",0.0307826086956522,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.375304347826087,0.19,0.15,0.1,2.27,0.1,0.165,0.19,0.23,2.27
"o3.contaudit.ppgc.inf.ufrgs.br",0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.338869565217391,0.18,0.18,0.13,2.14,0.13,0.16,0.18,0.25,2.14
"p1.auditor.contaudit.ppgc.inf.ufrgs.br",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,5.29939130434783,3.69,3.69,1.29,13.91,1.29,1.965,3.69,7.18,13.91
"p1.organization.contaudit.ppgc.inf.ufrgs.br",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,3.95773913043478,2.74,1.52,0.78,13.61,0.78,1.75,2.74,4.6,13.61
