Host,CPU_Min,CPU_Max,Memory_Min,Memory_Max
p1,1.61,9.25,46.06,46.06
p2,2.43,9.98,50.99,50.99
dev-p1-artifact,0.11,0.25,247.36,247.36
dev-p2-application,0.11,12.06,287.41,287.41
dev-p2-artifact,0.11,26.23,288.15,288.15
dev-p2-log,0.13,22.93,283.43,283.43
dev-p2-wrapper,0.11,15.25,288.67,288.67
dev-p1-application,0.13,0.65,221.35,221.35
dev-p1-log,0.13,13.25,285.0,285.0
dev-p1-wrapper,0.1,0.22,240.54,240.54
ca2,0.0,0.0,15.99,15.99
